frame_index,timestamp,system_state,state_conf,inference_ms,is_event,event_type,triggered_rules
95,1773776211.3933723,NORMAL,0.0,0.0,False,,
96,1773776211.4251187,NORMAL,0.0,0.0,False,,
97,1773776211.472904,NORMAL,0.0,0.0,False,,
98,1773776211.504977,NORMAL,0.0,0.0,False,,
99,1773776211.537443,NORMAL,0.0,0.0,False,,
100,1773776211.5686657,NORMAL,0.0,0.0,False,,
101,1773776211.6004994,NORMAL,0.0,0.0,False,,
102,1773776211.6335435,NORMAL,0.0,0.0,False,,
103,1773776211.6649215,NORMAL,0.0,0.0,False,,
104,1773776211.697086,NORMAL,0.0,0.0,False,,
105,1773776211.728989,NORMAL,0.0,0.0,False,,
106,1773776211.7603555,NORMAL,0.0,0.0,False,,
107,1773776211.7923985,NORMAL,0.0,0.0,False,,
108,1773776211.8248072,NORMAL,0.0,0.0,False,,
109,1773776211.8739889,NORMAL,0.0,0.0,False,,
110,1773776211.9040008,NORMAL,0.0,0.0,False,,
111,1773776211.9370382,NORMAL,0.0,0.0,False,,
112,1773776211.9691157,NORMAL,0.0,0.0,False,,
113,1773776212.0015547,NORMAL,0.0,0.0,False,,
114,1773776212.0330594,NORMAL,0.0,0.0,False,,
115,1773776212.0649998,NORMAL,0.0,0.0,False,,
116,1773776212.0968325,NORMAL,0.0,0.0,False,,
117,1773776212.1282642,NORMAL,0.0,0.0,False,,
118,1773776212.1604364,NORMAL,0.0,0.0,False,,
119,1773776212.1933901,NORMAL,0.0,0.0,False,,
120,1773776212.225487,NORMAL,0.0,0.0,False,,
121,1773776212.2729256,NORMAL,0.0,0.0,False,,
122,1773776212.304905,NORMAL,0.0,0.0,False,,
123,1773776212.3369415,NORMAL,0.0,0.0,False,,
124,1773776212.3688357,NORMAL,0.0,0.0,False,,
125,1773776212.4029152,NORMAL,0.0,0.0,False,,
126,1773776212.4332485,NORMAL,0.0,0.0,False,,
127,1773776212.4652243,NORMAL,0.0,0.0,False,,
128,1773776212.49728,NORMAL,0.0,0.0,False,,
129,1773776212.528944,NORMAL,0.0,0.0,False,,
130,1773776212.5610166,NORMAL,0.0,0.0,False,,
131,1773776212.593241,NORMAL,0.0,0.0,False,,
132,1773776212.625088,NORMAL,0.0,0.0,False,,
133,1773776212.672927,NORMAL,0.0,0.0,False,,
134,1773776212.7048397,NORMAL,0.0,0.0,False,,
135,1773776212.7378592,NORMAL,0.0,0.0,False,,
136,1773776212.7690055,NORMAL,0.0,0.0,False,,
137,1773776212.8005795,NORMAL,0.0,0.0,False,,
138,1773776212.8328953,NORMAL,0.0,0.0,False,,
139,1773776212.8650224,NORMAL,0.0,0.0,False,,
140,1773776212.89695,NORMAL,0.0,0.0,False,,
141,1773776212.928431,NORMAL,0.0,0.0,False,,
142,1773776212.960463,NORMAL,0.0,0.0,False,,
143,1773776212.9927862,NORMAL,0.0,0.0,False,,
144,1773776213.0249162,NORMAL,0.0,0.0,False,,
145,1773776213.0730398,NORMAL,0.0,0.0,False,,
146,1773776213.1049435,NORMAL,0.0,0.0,False,,
147,1773776213.1368816,NORMAL,0.0,0.0,False,,
148,1773776213.1689887,NORMAL,0.0,0.0,False,,
149,1773776213.200479,NORMAL,0.0,0.0,False,,
150,1773776213.2331448,NORMAL,0.0,0.0,False,,
151,1773776213.2649286,NORMAL,0.0,0.0,False,,
152,1773776213.2973802,NORMAL,0.0,0.0,False,,
153,1773776213.3289518,NORMAL,0.0,0.0,False,,
154,1773776213.3609567,NORMAL,0.0,0.0,False,,
155,1773776213.3927326,NORMAL,0.0,0.0,False,,
156,1773776213.4243035,NORMAL,0.0,0.0,False,,
157,1773776213.4733078,NORMAL,0.0,0.0,False,,
158,1773776213.5049202,NORMAL,0.0,0.0,False,,
159,1773776213.5380561,NORMAL,0.0,0.0,False,,
160,1773776213.5691059,NORMAL,0.0,0.0,False,,
161,1773776213.60358,NORMAL,0.0,0.0,False,,
162,1773776213.63327,NORMAL,0.0,0.0,False,,
163,1773776213.6653216,NORMAL,0.0,0.0,False,,
164,1773776213.6971252,NORMAL,0.0,0.0,False,,
165,1773776213.7290902,NORMAL,0.0,0.0,False,,
166,1773776213.7605207,NORMAL,0.0,0.0,False,,
167,1773776213.792863,NORMAL,0.0,0.0,False,,
168,1773776213.8251987,NORMAL,0.0,0.0,False,,
169,1773776213.872067,NORMAL,0.0,0.0,False,,
170,1773776213.9061508,NORMAL,0.0,0.0,False,,
171,1773776213.9361846,NORMAL,0.0,0.0,False,,
172,1773776213.9682248,NORMAL,0.0,0.0,False,,
173,1773776214.000331,NORMAL,0.0,0.0,False,,
174,1773776214.032895,NORMAL,0.0,0.0,False,,
175,1773776214.0649433,NORMAL,0.0,0.0,False,,
176,1773776214.0968974,NORMAL,0.0,0.0,False,,
177,1773776214.1294613,NORMAL,0.0,0.0,False,,
178,1773776214.160646,NORMAL,0.0,0.0,False,,
179,1773776214.1934757,NORMAL,0.0,0.0,False,,
180,1773776214.2262344,NORMAL,0.0,0.0,False,,
181,1773776214.2729805,NORMAL,0.0,0.0,False,,
182,1773776214.3049607,NORMAL,0.0,0.0,False,,
183,1773776214.3372967,NORMAL,0.0,0.0,False,,
184,1773776214.3690856,NORMAL,0.0,0.0,False,,
185,1773776214.401243,NORMAL,0.0,0.0,False,,
186,1773776214.432898,NORMAL,0.0,0.0,False,,
187,1773776214.4648397,NORMAL,0.0,0.0,False,,
188,1773776214.496906,NORMAL,0.0,0.0,False,,
189,1773776214.5290954,NORMAL,0.0,0.0,False,,
190,1773776214.5612302,NORMAL,0.0,0.0,False,,
191,1773776214.5932353,NORMAL,0.0,0.0,False,,
192,1773776214.625266,NORMAL,0.0,0.0,False,,
193,1773776214.6728647,NORMAL,0.0,0.0,False,,
194,1773776214.7060483,NORMAL,0.0,0.0,False,,
195,1773776214.7371695,NORMAL,0.0,0.0,False,,
196,1773776214.7698255,NORMAL,0.0,0.0,False,,
197,1773776214.801047,NORMAL,0.0,0.0,False,,
198,1773776214.8341417,NORMAL,0.0,0.0,False,,
199,1773776214.8648598,NORMAL,0.0,0.0,False,,
200,1773776214.8968065,NORMAL,0.0,0.0,False,,
201,1773776214.928672,NORMAL,0.0,0.0,False,,
202,1773776214.960437,NORMAL,0.0,0.0,False,,
203,1773776214.9930494,NORMAL,0.0,0.0,False,,
204,1773776215.024983,NORMAL,0.0,0.0,False,,
205,1773776215.07401,NORMAL,0.0,0.0,False,,
206,1773776215.106015,NORMAL,0.0,0.0,False,,
207,1773776215.137484,NORMAL,0.0,0.0,False,,
208,1773776215.1689348,NORMAL,0.0,0.0,False,,
209,1773776215.200479,NORMAL,0.0,0.0,False,,
210,1773776215.23335,NORMAL,0.0,0.0,False,,
211,1773776215.2652574,NORMAL,0.0,0.0,False,,
212,1773776215.2971466,NORMAL,0.0,0.0,False,,
213,1773776215.3291461,NORMAL,0.0,0.0,False,,
214,1773776215.3615463,NORMAL,0.0,0.0,False,,
215,1773776215.3931057,NORMAL,0.0,0.0,False,,
216,1773776215.4243653,NORMAL,0.0,0.0,False,,
217,1773776215.4731512,NORMAL,0.0,0.0,False,,
218,1773776215.5048757,NORMAL,0.0,0.0,False,,
219,1773776215.5370803,NORMAL,0.0,0.0,False,,
220,1773776215.5694804,NORMAL,0.0,0.0,False,,
221,1773776215.6005008,NORMAL,0.0,0.0,False,,
222,1773776215.6323533,NORMAL,0.0,0.0,False,,
223,1773776215.6649182,NORMAL,0.0,0.0,False,,
224,1773776215.6970139,NORMAL,0.0,0.0,False,,
225,1773776215.7289531,NORMAL,0.0,0.0,False,,
226,1773776215.7604187,NORMAL,0.0,0.0,False,,
227,1773776215.7930665,NORMAL,0.0,0.0,False,,
228,1773776215.825131,NORMAL,0.0,0.0,False,,
229,1773776215.872945,NORMAL,0.0,0.0,False,,
230,1773776215.9051425,NORMAL,0.0,0.0,False,,
231,1773776215.9364357,NORMAL,0.0,0.0,False,,
232,1773776215.9685097,NORMAL,0.0,0.0,False,,
233,1773776216.0005498,NORMAL,0.0,0.0,False,,
234,1773776216.0332341,NORMAL,0.0,0.0,False,,
235,1773776216.0650573,NORMAL,0.0,0.0,False,,
236,1773776216.0969775,NORMAL,0.0,0.0,False,,
237,1773776216.129194,NORMAL,0.0,0.0,False,,
238,1773776216.1605003,NORMAL,0.0,0.0,False,,
239,1773776216.192572,NORMAL,0.0,0.0,False,,
240,1773776216.2248447,NORMAL,0.0,0.0,False,,
241,1773776216.2721636,NORMAL,0.0,0.0,False,,
242,1773776216.3050141,NORMAL,0.0,0.0,False,,
243,1773776216.3369238,NORMAL,0.0,0.0,False,,
244,1773776216.368928,NORMAL,0.0,0.0,False,,
245,1773776216.403008,NORMAL,0.0,0.0,False,,
246,1773776216.4330828,NORMAL,0.0,0.0,False,,
247,1773776216.4663138,NORMAL,0.0,0.0,False,,
248,1773776216.4970844,NORMAL,0.0,0.0,False,,
249,1773776216.5290465,NORMAL,0.0,0.0,False,,
250,1773776216.561675,NORMAL,0.0,0.0,False,,
251,1773776216.5930107,NORMAL,0.0,0.0,False,,
252,1773776216.624011,NORMAL,0.0,0.0,False,,
253,1773776216.6728284,NORMAL,0.0,0.0,False,,
254,1773776216.705024,NORMAL,0.0,0.0,False,,
255,1773776216.737951,NORMAL,0.0,0.0,False,,
256,1773776216.7689867,NORMAL,0.0,0.0,False,,
257,1773776216.8003838,NORMAL,0.0,0.0,False,,
258,1773776216.8347785,NORMAL,0.0,0.0,False,,
259,1773776216.8654253,NORMAL,0.0,0.0,False,,
260,1773776216.8971562,NORMAL,0.0,0.0,False,,
261,1773776216.9298491,NORMAL,0.0,0.0,False,,
262,1773776216.9627192,NORMAL,0.0,0.0,False,,
263,1773776216.9930158,NORMAL,0.0,0.0,False,,
264,1773776217.0250041,NORMAL,0.0,0.0,False,,
265,1773776217.073048,NORMAL,0.0,0.0,False,,
266,1773776217.104823,NORMAL,0.0,0.0,False,,
267,1773776217.1371434,NORMAL,0.0,0.0,False,,
268,1773776217.1691682,NORMAL,0.0,0.0,False,,
269,1773776217.2004719,NORMAL,0.0,0.0,False,,
270,1773776217.2330513,NORMAL,0.0,0.0,False,,
271,1773776217.2659123,NORMAL,0.0,0.0,False,,
272,1773776217.29711,NORMAL,0.0,0.0,False,,
273,1773776217.3289115,NORMAL,0.0,0.0,False,,
274,1773776217.3610036,NORMAL,0.0,0.0,False,,
275,1773776217.3928673,NORMAL,0.0,0.0,False,,
276,1773776217.4256315,NORMAL,0.0,0.0,False,,
277,1773776217.4727893,NORMAL,0.0,0.0,False,,
278,1773776217.5049577,NORMAL,0.0,0.0,False,,
279,1773776217.5369465,NORMAL,0.0,0.0,False,,
280,1773776217.5691414,NORMAL,0.0,0.0,False,,
281,1773776217.6004243,NORMAL,0.0,0.0,False,,
282,1773776217.6333652,NORMAL,0.0,0.0,False,,
283,1773776217.6652246,NORMAL,0.0,0.0,False,,
284,1773776217.6968744,NORMAL,0.0,0.0,False,,
285,1773776217.7302608,NORMAL,0.0,0.0,False,,
286,1773776217.7605302,NORMAL,0.0,0.0,False,,
287,1773776217.793996,NORMAL,0.0,0.0,False,,
288,1773776217.8251126,NORMAL,0.0,0.0,False,,
289,1773776217.873149,NORMAL,0.0,0.0,False,,
290,1773776217.9048986,NORMAL,0.0,0.0,False,,
291,1773776217.9379754,NORMAL,0.0,0.0,False,,
292,1773776217.9689307,NORMAL,0.0,0.0,False,,
293,1773776218.0029829,NORMAL,0.0,0.0,False,,
294,1773776218.0328805,NORMAL,0.0,0.0,False,,
295,1773776218.0648882,NORMAL,0.0,0.0,False,,
296,1773776218.0980012,NORMAL,0.0,0.0,False,,
297,1773776218.1288393,NORMAL,0.0,0.0,False,,
298,1773776218.1623468,NORMAL,0.0,0.0,False,,
299,1773776218.1928499,NORMAL,0.0,0.0,False,,
300,1773776218.2248423,NORMAL,0.0,0.0,False,,
301,1773776218.2729306,NORMAL,0.0,0.0,False,,
302,1773776218.304848,NORMAL,0.0,0.0,False,,
303,1773776218.337125,NORMAL,0.0,0.0,False,,
304,1773776218.3692696,NORMAL,0.0,0.0,False,,
305,1773776218.4010677,NORMAL,0.0,0.0,False,,
306,1773776218.4329526,NORMAL,0.0,0.0,False,,
307,1773776218.4648457,NORMAL,0.0,0.0,False,,
308,1773776218.4971294,NORMAL,0.0,0.0,False,,
309,1773776218.528968,NORMAL,0.0,0.0,False,,
310,1773776218.5605435,NORMAL,0.0,0.0,False,,
311,1773776218.5928571,NORMAL,0.0,0.0,False,,
312,1773776218.624799,NORMAL,0.0,0.0,False,,
313,1773776218.672929,NORMAL,0.0,0.0,False,,
314,1773776218.7048998,NORMAL,0.0,0.0,False,,
315,1773776218.7369907,NORMAL,0.0,0.0,False,,
316,1773776218.769003,NORMAL,0.0,0.0,False,,
317,1773776218.8004074,NORMAL,0.0,0.0,False,,
318,1773776218.8333375,NORMAL,0.0,0.0,False,,
319,1773776218.8653104,NORMAL,0.0,0.0,False,,
320,1773776218.8969128,NORMAL,0.0,0.0,False,,
321,1773776218.9292648,NORMAL,0.0,0.0,False,,
322,1773776218.9607837,NORMAL,0.0,0.0,False,,
323,1773776218.993102,NORMAL,0.0,0.0,False,,
324,1773776219.0248764,NORMAL,0.0,0.0,False,,
325,1773776219.072715,NORMAL,0.0,0.0,False,,
326,1773776219.1051924,NORMAL,0.0,0.0,False,,
327,1773776219.1371596,NORMAL,0.0,0.0,False,,
328,1773776219.169208,NORMAL,0.0,0.0,False,,
329,1773776219.200682,NORMAL,0.0,0.0,False,,
330,1773776219.2333248,NORMAL,0.0,0.0,False,,
331,1773776219.265096,NORMAL,0.0,0.0,False,,
332,1773776219.2970994,NORMAL,0.0,0.0,False,,
333,1773776219.329067,NORMAL,0.0,0.0,False,,
334,1773776219.3630917,NORMAL,0.0,0.0,False,,
335,1773776219.392971,NORMAL,0.0,0.0,False,,
336,1773776219.425018,NORMAL,0.0,0.0,False,,
337,1773776219.4725697,NORMAL,0.0,0.0,False,,
338,1773776219.5045824,NORMAL,0.0,0.0,False,,
339,1773776219.5372102,NORMAL,0.0,0.0,False,,
340,1773776219.569461,NORMAL,0.0,0.0,False,,
341,1773776219.6005776,NORMAL,0.0,0.0,False,,
342,1773776219.6329408,NORMAL,0.0,0.0,False,,
343,1773776219.6648362,NORMAL,0.0,0.0,False,,
344,1773776219.6969419,NORMAL,0.0,0.0,False,,
345,1773776219.7289078,NORMAL,0.0,0.0,False,,
346,1773776219.761487,NORMAL,0.0,0.0,False,,
347,1773776219.7930698,NORMAL,0.0,0.0,False,,
348,1773776219.8243186,NORMAL,0.0,0.0,False,,
349,1773776219.872826,NORMAL,0.0,0.0,False,,
350,1773776219.9052315,NORMAL,0.0,0.0,False,,
351,1773776219.9363804,NORMAL,0.0,0.0,False,,
352,1773776219.9688766,NORMAL,0.0,0.0,False,,
353,1773776220.0004065,NORMAL,0.0,0.0,False,,
