time,entity,id,type,x,y,z,vx,vy,vz,alive
0.0,target,1,cruise,29484.744042934268,19815.798178811896,500.0,-207.4677794740231,-139.43277379912305,0.0,True
0.0,target,2,cruise,38930.94870393523,-6010.099778526197,500.0,-247.04224506089625,38.13800053059136,0.0,True
0.0,target,3,evasive,2553.4983432143927,-36422.699061125655,2500.0,-20.976927196582984,299.2115928089856,0.0,True
0.0,target,4,cruise,10134.318840085487,-43955.53038462546,500.0,-56.159103209941875,243.5785972860801,0.0,True
0.0,interceptor,1,interceptor,3.542134253489908,-51.470394681281974,11.065006965660837,70.80812541290044,-1028.905910608882,220.3458456962824,True
0.0,interceptor,2,interceptor,43.27152115073421,29.21272735576038,7.648142057718943,864.982300818728,583.9520379354935,152.0348207796597,True
0.0,interceptor,3,interceptor,51.54371612264053,-7.93568902335875,8.032794685459477,1030.3377302424553,-158.63116310061554,159.72521474744988,True
0.0,interceptor,4,interceptor,11.645826730745227,-50.64793974913299,9.12850276028787,232.79540638156274,-1012.4320306760493,181.63143035387603,True
0.2,target,1,cruise,29443.259468575285,19787.917660268664,500.0,-207.3821443392903,-139.37522103405885,0.0,True
0.2,target,2,cruise,38881.55094968626,-6002.473829461117,500.0,-246.9402750297226,38.1222585545498,0.0,True
0.2,target,3,evasive,2549.304265198612,-36362.8753914477,2500.0,-20.964462367205503,299.03379644171133,0.0,True
0.2,target,4,cruise,10123.089450640278,-43906.825209985866,500.0,-56.135922779794846,243.47805692241735,0.0,True
0.2,interceptor,1,interceptor,17.676163478389196,-256.8508115732866,54.382262007605355,70.53240806183554,-1024.9022332751279,212.8653561998636,True
0.2,interceptor,2,interceptor,215.91060681309656,145.76189368127325,37.323973847123646,861.4132400478645,581.5428417661232,144.760553977257,True
0.2,interceptor,3,interceptor,257.18340109823544,-39.59604416349884,39.24377171182874,1026.06495720484,-157.97327968524368,152.41900772444106,True
0.2,interceptor,4,interceptor,58.10832931456744,-252.7143486377885,44.713419825830265,231.8309522513139,-1008.2378912948253,174.24924323208376,True
0.39999999999999997,target,1,cruise,29401.789608201972,19760.04703054692,500.0,-207.31951652604093,-139.33313078881466,0.0,True
