[2026-03-20 16:38:24] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:38:34] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:53:56] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:56:51] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:57:16] INFO     quant.cache — 캐시 전체 삭제: 0개 파일
[2026-03-20 16:57:26] WARNING  quant.data — 현대로템: yfinance 데이터 없음
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:57:46] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 시작: 005930.KS — 99개 ROI 샘플
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  44/100 | Train: -1.875008 | Val: -2.263373 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  45/100 | Train: -1.934505 | Val: -2.312082 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  46/100 | Train: -1.987656 | Val: -2.341600 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  47/100 | Train: -2.045779 | Val: -2.355160 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  48/100 | Train: -2.028940 | Val: -2.403257 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  49/100 | Train: -2.051813 | Val: -2.449736 | 경과: 14s
[2026-03-20 16:58:02] INFO     quant.trainer — Epoch  50/100 | Train: -1.990519 | Val: -2.488303 | 경과: 15s
[2026-03-20 16:58:03] INFO     quant.trainer — Epoch  51/100 | Train: -2.248488 | Val: -2.509569 | 경과: 15s
[2026-03-20 16:58:03] INFO     quant.trainer — Epoch  52/100 | Train: -2.075538 | Val: -2.491838 | 경과: 15s
[2026-03-20 16:58:03] INFO     quant.trainer — Epoch  53/100 | Train: -2.002087 | Val: -2.476562 | 경과: 15s
[2026-03-20 16:58:03] INFO     quant.trainer — Epoch  54/100 | Train: -1.805415 | Val: -2.452265 | 경과: 15s
[2026-03-20 16:58:03] INFO     quant.trainer — Epoch  55/100 | Train: -1.964806 | Val: -2.434949 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  56/100 | Train: -2.111841 | Val: -2.412283 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  57/100 | Train: -2.053279 | Val: -2.359215 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  58/100 | Train: -2.018086 | Val: -2.353217 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  59/100 | Train: -2.006363 | Val: -2.365049 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  60/100 | Train: -2.076153 | Val: -2.395179 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  61/100 | Train: -2.079778 | Val: -2.398839 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  62/100 | Train: -2.156121 | Val: -2.398108 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  63/100 | Train: -2.150268 | Val: -2.405459 | 경과: 16s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  64/100 | Train: -1.963416 | Val: -2.413277 | 경과: 17s
[2026-03-20 16:58:04] INFO     quant.trainer — Epoch  65/100 | Train: -2.062808 | Val: -2.423952 | 경과: 17s
[2026-03-20 16:58:05] INFO     quant.trainer — Epoch  66/100 | Train: -2.196797 | Val: -2.437980 | 경과: 17s
[2026-03-20 16:58:05] INFO     quant.trainer — Early stopping (epoch 66, 최고: epoch 51)
[2026-03-20 16:58:05] INFO     quant.store — [모델 저장] 005930.KS: F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\005930_KS\model_latest_20260320_165805.pt
[2026-03-20 16:58:05] INFO     quant.trainer — 학습 완료: 최고 val_loss=-2.509569 (epoch 51)
[2026-03-20 16:58:06] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:58:06] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:58:06] INFO     quant.trainer — 학습 시작: 000660.KS — 98개 ROI 샘플
[2026-03-20 16:58:06] INFO     quant.trainer —   이미지 shape: (98, 1, 64, 64)
[2026-03-20 16:58:06] INFO     quant.trainer —   TS 피처 shape: (98, 32)
[2026-03-20 16:58:06] INFO     quant.trainer — Epoch   1/100 | Train: 0.205560 | Val: -0.292821 | 경과: 0s
[2026-03-20 16:58:06] INFO     quant.trainer — Epoch   2/100 | Train: -0.404669 | Val: -0.419860 | 경과: 1s
[2026-03-20 16:58:07] INFO     quant.trainer — Epoch   3/100 | Train: -0.652787 | Val: -0.798092 | 경과: 1s
[2026-03-20 16:58:07] INFO     quant.trainer — Epoch   4/100 | Train: -0.769741 | Val: -0.978672 | 경과: 1s
[2026-03-20 16:58:08] INFO     quant.trainer — Epoch   5/100 | Train: -0.944850 | Val: -1.117083 | 경과: 2s
[2026-03-20 16:58:09] INFO     quant.trainer — Epoch   6/100 | Train: -1.090860 | Val: -1.370398 | 경과: 3s
[2026-03-20 16:58:10] INFO     quant.trainer — Epoch   7/100 | Train: -1.071409 | Val: -1.538475 | 경과: 4s
[2026-03-20 16:58:11] INFO     quant.trainer — Epoch   8/100 | Train: -1.205723 | Val: -1.625304 | 경과: 5s
