Date,open,high,low,close,volume
2013-10-30,33357.76155241935,38356.4765625,33159.79264112903,38356.4765625,16962212
2013-10-31,40039.21436685528,40732.105591992455,35238.468021262,36079.8359375,8952654
2013-11-01,36079.83518448795,37861.55544051205,35733.38957914994,36970.6953125,2685352
2013-11-04,38504.954998297006,38999.877299046326,36079.83572462534,36327.296875,2261819
2013-11-05,35683.89531138552,36327.29425597361,34248.62074268902,34694.05078125,2254062
2013-11-06,34694.05473214286,35881.86830357143,34149.64017857143,34644.5625,1258031
2013-11-07,34941.51701183432,35040.501479289946,33407.25776627219,33456.75,1265278
2013-11-08,32912.3349367722,34694.055324326786,32516.39707287118,34001.1640625,1250427
2013-11-11,34595.07076605588,34991.00862890058,33753.70280751088,34100.1484375,650733
2013-11-12,34199.131679306134,35485.9296875,33902.17829279986,35485.9296875,766202
2013-11-13,35683.900127923975,35683.900127923975,33654.71856725146,33852.6875,873530
2013-11-14,33704.2114032228,33704.2114032228,32070.967678837555,33209.2890625,1120559
2013-11-15,33159.796875,33654.719216417914,32961.827938432834,33159.796875,501548
2013-11-18,33209.28855846774,34199.13322489003,33159.79632514663,33753.703125,621179
2013-11-19,33852.68786982249,34100.14903846154,33357.76553254438,33456.75,367999
2013-11-20,33456.74617488872,33852.683999443616,33209.285034541914,33357.76171875,349307
2013-11-21,33357.76452170801,33456.74898616412,32318.42764491889,32417.412109375,375291
2013-11-22,32615.380029374013,32862.8411828594,31328.58203125,31328.58203125,654528
2013-11-25,31180.105210790098,31774.011976709906,30784.167366843554,31477.05859375,513819
2013-11-26,31872.99782116718,32615.38131079064,31774.013355884053,32120.458984375,688714
2013-11-27,31774.012063781545,31971.98098629732,31279.089757492115,31378.07421875,397652
2013-11-28,31427.56899274133,32862.84379713424,31229.600054204377,32813.3515625,698694
2013-11-29,31922.490509463027,32565.88954298709,31130.614775894952,31625.537109375,2366739
2013-12-02,31526.550997577135,31823.5043821697,31229.597612984573,31279.08984375,653579
2013-12-03,31279.090985576924,32367.92010216346,31279.090985576924,32169.951171875,814436
2013-12-04,32070.964717741936,32268.933635752688,31526.550193212366,32219.44140625,367975
2013-12-05,32466.904075264752,32862.84192984115,32219.4429161545,32714.365234375,579978
2013-12-06,32318.42532826619,32961.82430111069,32268.933099585844,32862.83984375,376660
2013-12-09,33060.81278323263,33110.305017938066,32318.429262651058,32763.859375,348969
2013-12-10,32516.397262573242,32565.88949584961,31675.029296875,31675.029296875,343482
2013-12-11,31378.07447999602,31675.02786624204,31081.12109375,31081.12109375,400609
2013-12-12,30685.183288476874,31279.090061802235,30635.691057366428,31031.62890625,295035
2013-12-13,31774.01250751202,32120.458126752805,30784.167881109774,30883.15234375,335425
2013-12-16,30734.677072354552,30883.153773187183,29299.40229763912,29348.89453125,732684
2013-12-17,29695.33858625856,29695.33858625856,28853.9706596479,28903.462890625,434318
2013-12-18,28903.46456567797,29398.386904131356,28309.5577595339,29200.41796875,492037
