Date,open,high,low,close,volume
2021-09-27,25252.229156312125,25649.90205641153,24655.719806163022,25003.68359375,2733835
2021-09-28,24655.719644683028,24953.974317804194,24258.046747188142,24307.755859375,1490086
2021-09-29,23562.1200564056,24059.2111968361,23462.7018283195,23959.79296875,1430504
2021-09-30,24854.554735924587,25053.391173811982,24009.49987490315,24059.208984375,1862141
2021-10-01,23711.248046875,24307.757431702044,23611.82981607049,23711.248046875,1266783
2021-10-05,23860.372468017056,24258.04534248401,23313.572265625,23313.572265625,1648380
2021-10-06,23462.699902993347,23611.827232885254,22319.39037382206,22418.80859375,1624294
2021-10-07,22518.227749693626,23015.318869995914,22369.10041360294,22816.482421875,869670
2021-10-08,23214.15531811683,23462.700878267973,22518.227749693626,22816.482421875,1020666
2021-10-12,22717.064325191048,23065.02811135371,22717.064325191048,22766.7734375,798402
2021-10-13,22766.77460769127,23462.702215786638,22766.77460769127,23065.029296875,789704
2021-10-14,23313.573961650745,23562.119526273887,23263.864848726116,23412.9921875,584262
2021-10-15,23562.120700668238,23959.793623886268,23263.866008254718,23711.248046875,967871
2021-10-18,23760.957162277253,24059.211854690777,23363.284239059223,23711.248046875,691516
2021-10-19,23860.373555672268,24059.21000196954,23562.118886226366,23661.537109375,563726
2021-10-20,23661.536856040795,23860.373300209205,23363.28218978818,23760.955078125,666376
2021-10-21,23910.083185745498,23910.083185745498,23462.701171875,23462.701171875,600188
2021-10-22,23512.410028513976,23760.955589069094,23263.86446795886,23562.119140625,658317
2021-10-25,23412.992059222724,23512.41028452728,22965.610045352223,23462.701171875,637079
2021-10-26,23562.11863395659,23760.955078125,23412.991300830283,23760.955078125,570122
2021-10-27,23711.24643841912,23711.24643841912,22667.355085784315,22816.482421875,1633054
2021-10-28,22766.773823832416,22915.901163289836,22617.646484375,22617.646484375,784295
2021-10-29,22717.063381076387,22766.772491319443,22369.099609375,22369.099609375,791301
2021-11-01,22468.519255410025,22567.937482203874,21822.30078125,21822.30078125,1047262
2021-11-02,21872.010930493274,22219.97474075112,21872.010930493274,22170.265625,574188
2021-11-03,22269.683199541283,22319.392313825974,21673.173828125,21673.173828125,671379
2021-11-04,21921.717551185346,22219.97221174569,21524.04467043822,21623.462890625,636301
2021-11-05,21623.463526526164,21822.299972747092,21026.95418786337,21374.91796875,836733
2021-11-08,21474.33737098624,21673.173828125,20927.537113854643,21673.173828125,610455
2021-11-09,21722.882009345794,21872.00934579439,21176.081775700935,21275.5,628332
2021-11-10,21076.663253012048,21225.7905873494,20579.572138554217,20629.28125,904034
2021-11-11,20480.155080908553,21176.08268074525,20380.736852360453,20927.537109375,991966
2021-11-12,20927.536467502934,21374.918482247653,20877.82735475352,21176.08203125,537225
2021-11-15,21474.337629608293,21772.59231890841,21176.08294030818,21573.755859375,587781
2021-11-16,21772.591926487414,21772.591926487414,21374.9190145881,21722.8828125,552074
2021-11-17,21772.59178302305,21772.59178302305,21026.955078125,21026.955078125,661262
2021-11-18,20977.245835790094,21275.50051591981,20728.700269015328,21076.6640625,514256
2021-11-19,21076.66419178487,21275.50064642435,20877.827737145388,21026.955078125,515872
2021-11-22,21176.08190317623,21225.791015625,20629.281666239753,21225.791015625,799635
2021-11-23,21026.954949145045,21524.046082694575,21026.954949145045,21076.6640625,492629
2021-11-24,21076.662611607146,21176.080831473217,20778.40795200893,20877.826171875,504037
2021-11-25,20828.11862348552,21176.08241910461,20778.409509825648,21026.955078125,409947
2021-11-26,21076.664447352217,21076.664447352217,20132.191276362377,20181.900390625,974707
2021-11-29,19287.135692866163,19983.06326941288,19187.7174676452,19684.80859375,1067840
2021-11-30,19833.936306423613,19933.35453352348,18591.208467675264,18790.044921875,1409999
2021-12-01,18790.043909893135,19287.135018620465,18491.789244656735,19187.716796875,977837
2021-12-02,19386.55317164179,20032.771610696516,19038.58939676617,19983.0625,1064040
2021-12-03,20181.899622648663,20579.572521617112,19983.063173164443,20480.154296875,818336
2021-12-06,20231.60873501972,20629.28163398817,20082.481397906555,20480.154296875,483201
2021-12-07,20579.57369542464,20927.537501869017,20331.02811939294,20778.41015625,535076
2021-12-08,20927.535918674697,21026.954141566264,20480.15391566265,20629.28125,572155
2021-12-09,20778.40976655285,21374.91913784145,20778.40976655285,20927.537109375,808056
2021-12-10,20828.11681261108,20977.244140625,20629.280375259183,20977.244140625,316790
2021-12-13,21026.955732281698,21275.501308313396,20778.41015625,20778.41015625,500834
2021-12-14,20778.40832958633,21026.953883767983,20529.862775404676,20728.69921875,348775
2021-12-15,20728.69985873028,20728.69985873028,20380.736072132888,20480.154296875,338011
2021-12-16,20728.699729494554,20728.699729494554,20331.02683300545,20529.86328125,322895
2021-12-17,20380.735567533055,20778.40845665565,20281.317345252402,20678.990234375,365344
2021-12-20,20579.571569461634,20579.571569461634,20032.771358678838,20082.48046875,444999
2021-12-21,20181.898688892325,20480.153349319306,20032.771358678838,20082.48046875,412651
2021-12-22,20181.898688892325,20281.316909034653,20032.771358678838,20082.48046875,307275
2021-12-23,20132.189203585687,20281.316531019656,20032.770985296378,20231.607421875,362089
2021-12-24,20331.027087135037,20579.572650547445,20281.317974452555,20430.4453125,463367
2021-12-27,20480.154554115852,20778.409232088416,20380.736328125,20380.736328125,702297
2021-12-28,20430.445700252756,20480.154813878675,20181.900132123163,20281.318359375,640378
2021-12-29,20331.027738086403,21076.66445219715,20231.609509538303,20927.537109375,961433
2021-12-30,20927.53579007662,20927.53579007662,20579.57201209435,20678.990234375,476815
2022-01-04,21176.08203125,21325.20936949824,20927.536467502934,21176.08203125,582369
2022-01-05,21026.954565829918,21225.791015625,20877.827228483606,21225.791015625,601989
2022-01-06,21076.66419178487,21474.33710106383,20927.53685080526,21026.955078125,916940
2022-01-07,21076.663551401867,21325.209112149532,20927.53621495327,21275.5,509011
2022-01-10,21374.919790458236,21971.429179959396,21325.210674666472,21424.62890625,1177965
2022-01-11,21573.75625362529,21722.88360100058,21374.919790458236,21424.62890625,643936
2022-01-12,21524.046744491647,21623.464974258353,21225.79205519153,21573.755859375,604323
2022-01-13,21772.592314518377,22667.356382238308,21722.883199645046,22319.392578125,1772673
2022-01-14,22269.683463251673,22518.22903761832,21971.428774011692,22319.392578125,899182
2022-01-17,22617.64726736498,22866.192841731627,22021.137888885023,22319.392578125,1155542
2022-01-18,22070.8459272541,22269.68237704918,21126.37279072746,21225.791015625,1330655
2022-01-19,20828.117567795973,21225.79045691857,20430.44467867338,20678.990234375,907260
2022-01-20,20480.154205607476,21275.5,20480.154205607476,21275.5,732154
2022-01-21,20678.99234375,20778.410576171875,19784.228251953125,19883.646484375,2071795
2022-01-24,19635.098794729598,19883.644349093265,19088.298575129535,19187.716796875,1050035
2022-01-25,19386.55428447421,19485.972511574077,18690.626694775132,18790.044921875,1016915
